id|member_id|author_id|hot_table_id|status|created
54|4642003|397|37|draft|2018-04-17 06:16:14.977859+00:00
28|4635160|348|44|draft|2018-03-26 22:48:46.560897+00:00
29|4597015|279|16|draft|2018-03-27 02:09:19.949828+00:00
55|4562440|9|37|draft|2018-04-18 08:06:37.860395+00:00
30|4567226|119|46|draft|2018-03-27 08:40:28.667070+00:00
31|4567226|119|44|draft|2018-03-27 08:42:33.017236+00:00
56|4562439|45|55|draft|2018-04-18 11:06:09.053207+00:00
57|4562439|45|42|draft|2018-04-18 11:07:00.735639+00:00
58|4562428|16|89|draft|2018-04-18 14:25:36.261673+00:00
59|4562432|33|89|draft|2018-04-18 15:46:54.609911+00:00
60|4645513|439|89|draft|2018-04-19 16:41:55.427462+00:00
61|4635160|348|89|draft|2018-04-19 18:01:29.217629+00:00
62|4562439|45|42|draft|2018-04-20 10:41:31.596329+00:00
63|4635160|348|48|draft|2018-04-23 22:00:07.402507+00:00
64|4635160|348|89|draft|2018-04-23 22:01:02.954334+00:00
65|4562439|45|48|draft|2018-04-24 09:03:03.714492+00:00
66|4562439|45|89|draft|2018-04-24 09:03:14.050335+00:00
67|4562439|45|39|draft|2018-04-24 09:56:52.979092+00:00
68|4562432|33|38|draft|2018-04-24 15:06:45.919001+00:00
38|4562432|33|44|draft|2018-03-28 16:10:36.133216+00:00
69|4647705|450|89|draft|2018-04-25 14:36:29.704880+00:00
71|4635160|348|46|draft|2018-04-26 05:51:49.099116+00:00
72|4647707|449|46|draft|2018-04-26 20:03:59.557034+00:00
73|4574165|169|46|draft|2018-04-27 02:11:52.101100+00:00
74|4567226|119|46|draft|2018-04-27 08:15:40.649541+00:00
75|4567226|119|46|draft|2018-04-27 08:16:53.036647+00:00
76|4633729|342|46|draft|2018-04-27 08:23:41.313165+00:00
77|4564960|95|55|draft|2018-04-28 14:56:59.955076+00:00
1384|4794556|56702|2308|booked|2018-10-21 11:32:28.249171+00:00
1391|4865571|51177|2449|draft|2018-10-23 14:28:47.268743+00:00
80|4596313|268|55|draft|2018-04-30 15:08:06.814631+00:00
81|4562440|9|46|draft|2018-05-01 17:01:00.125562+00:00
1235|4837600|32496|1069|draft|2018-08-10 16:16:10.245746+00:00
83|4593186|230|37|draft|2018-05-02 10:26:49.246844+00:00
84|4562439|45|55|draft|2018-05-02 10:49:00.128350+00:00
85|4562439|45|48|draft|2018-05-02 10:49:42.903429+00:00
86|4593186|230|55|draft|2018-05-02 10:58:28.119693+00:00
87|4593186|230|55|draft|2018-05-02 16:06:19.141441+00:00
88|4593186|230|55|draft|2018-05-02 16:08:24.283788+00:00
89|4636615|364|55|draft|2018-05-02 16:42:01.600516+00:00
90|4636615|364|89|draft|2018-05-02 16:42:40.608484+00:00
97|4636617|362|37|draft|2018-05-03 13:16:35.982262+00:00
91|4636604|370|37|draft|2018-05-03 07:18:21.116218+00:00
252|4652982|646|37|draft|2018-05-11 10:09:18.883620+00:00
1640|4713443|1179|3472|draft|2019-01-09 10:24:40.778003+00:00
92|4593186|230|42|draft|2018-05-03 10:27:18.151092+00:00
98|4636617|362|37|draft|2018-05-03 13:27:08.778389+00:00
94|4636617|362|37|draft|2018-05-03 13:01:34.840584+00:00
99|4636617|362|48|draft|2018-05-03 14:46:23.906990+00:00
95|4636604|370|89|draft|2018-05-03 13:06:39.753115+00:00
96|4636617|362|37|draft|2018-05-03 13:08:12.878183+00:00
100|4636615|364|37|draft|2018-05-03 15:06:22.726369+00:00
101|4636617|362|37|draft|2018-05-03 15:14:03.198274+00:00
102|4635160|348|37|draft|2018-05-03 15:27:53.536057+00:00
1154|4662362|1095|377|booked|2018-06-05 21:44:07.061313+00:00
1164|4667124|3475|292|draft|2018-06-08 09:06:19.935571+00:00
106|4645513|439|55|draft|2018-05-03 18:41:56.765469+00:00
107|4593178|234|55|draft|2018-05-03 19:54:17.892495+00:00
108|4592220|35|16|draft|2018-05-04 08:23:20.659834+00:00
109|4592220|35|56|draft|2018-05-04 08:23:46.338713+00:00
110|4592220|35|89|draft|2018-05-04 08:24:14.222012+00:00
111|4593186|230|37|draft|2018-05-04 09:34:09.272808+00:00
113|4636617|362|37|draft|2018-05-04 16:39:32.947317+00:00
114|4636617|362|37|draft|2018-05-04 16:50:22.129033+00:00
115|4635551|357|46|draft|2018-05-08 12:16:54.188454+00:00
117|4593186|230|37|draft|2018-05-09 07:21:01.206331+00:00
118|4593186|230|37|draft|2018-05-09 08:30:24.966288+00:00
2081|4887146|53518|4217|draft|2019-02-21 15:35:53.179454+00:00
120|4562428|16|37|draft|2018-05-10 08:30:20.938658+00:00
121|4593186|230|37|draft|2018-05-10 10:28:29.748055+00:00
1173|4662245|1071|277|draft|2018-06-13 11:23:00.151005+00:00
123|4562439|45|37|draft|2018-05-10 16:13:36.332812+00:00
1236|4819882|20561|1304|booked|2018-08-16 09:41:25.830872+00:00
125|4635597|359|55|draft|2018-05-10 16:29:11.370318+00:00
1182|4635160|348|664|draft|2018-06-15 15:45:52.399057+00:00
127|4652982|646|37|draft|2018-05-11 09:50:54.188347+00:00
128|4652982|646|37|draft|2018-05-11 10:08:03.097762+00:00
129|4652982|646|37|draft|2018-05-11 10:08:03.342194+00:00
130|4652982|646|37|draft|2018-05-11 10:08:06.236271+00:00
131|4652982|646|37|draft|2018-05-11 10:08:15.373964+00:00
132|4652982|646|37|draft|2018-05-11 10:08:17.508134+00:00
133|4652982|646|37|draft|2018-05-11 10:08:32.039787+00:00
134|4652982|646|37|draft|2018-05-11 10:08:37.462295+00:00
135|4652982|646|37|draft|2018-05-11 10:08:43.942922+00:00
136|4652982|646|37|draft|2018-05-11 10:08:49.771825+00:00
137|4652982|646|37|draft|2018-05-11 10:08:53.559972+00:00
138|4652982|646|37|draft|2018-05-11 10:08:53.783381+00:00
139|4652982|646|37|draft|2018-05-11 10:08:54.032113+00:00
140|4652982|646|37|draft|2018-05-11 10:08:54.235045+00:00
141|4652982|646|37|draft|2018-05-11 10:08:54.469257+00:00
142|4652982|646|37|draft|2018-05-11 10:08:54.710707+00:00
143|4652982|646|37|draft|2018-05-11 10:08:54.887673+00:00
144|4652982|646|37|draft|2018-05-11 10:08:55.118872+00:00
145|4652982|646|37|draft|2018-05-11 10:08:55.283302+00:00
146|4652982|646|37|draft|2018-05-11 10:08:55.480195+00:00
147|4652982|646|37|draft|2018-05-11 10:08:55.758530+00:00
148|4652982|646|37|draft|2018-05-11 10:08:55.940599+00:00
149|4652982|646|37|draft|2018-05-11 10:08:56.169844+00:00
150|4652982|646|37|draft|2018-05-11 10:08:56.402851+00:00
151|4652982|646|37|draft|2018-05-11 10:08:56.581912+00:00
152|4652982|646|37|draft|2018-05-11 10:08:56.773415+00:00
153|4652982|646|37|draft|2018-05-11 10:08:56.993846+00:00
154|4652982|646|37|draft|2018-05-11 10:08:57.213116+00:00
155|4652982|646|37|draft|2018-05-11 10:08:57.415266+00:00
156|4652982|646|37|draft|2018-05-11 10:08:57.596373+00:00
157|4652982|646|37|draft|2018-05-11 10:08:57.789898+00:00
158|4652982|646|37|draft|2018-05-11 10:08:57.982538+00:00
159|4652982|646|37|draft|2018-05-11 10:08:58.194673+00:00
160|4652982|646|37|draft|2018-05-11 10:08:58.385744+00:00
161|4652982|646|37|draft|2018-05-11 10:08:58.564401+00:00
162|4652982|646|37|draft|2018-05-11 10:08:58.785391+00:00
163|4652982|646|37|draft|2018-05-11 10:08:59.015013+00:00
164|4652982|646|37|draft|2018-05-11 10:08:59.236406+00:00
165|4652982|646|37|draft|2018-05-11 10:08:59.450028+00:00
166|4652982|646|37|draft|2018-05-11 10:08:59.652811+00:00
167|4652982|646|37|draft|2018-05-11 10:08:59.903348+00:00
380|4652982|646|37|draft|2018-05-11 10:09:47.576991+00:00
168|4652982|646|37|draft|2018-05-11 10:09:00.128505+00:00
169|4652982|646|37|draft|2018-05-11 10:09:00.328183+00:00
170|4652982|646|37|draft|2018-05-11 10:09:00.534835+00:00
171|4652982|646|37|draft|2018-05-11 10:09:00.763236+00:00
172|4652982|646|37|draft|2018-05-11 10:09:01.008701+00:00
173|4652982|646|37|draft|2018-05-11 10:09:01.213669+00:00
174|4652982|646|37|draft|2018-05-11 10:09:01.435833+00:00
1191|4592615|219|677|draft|2018-06-26 17:13:19.027792+00:00
175|4652982|646|37|draft|2018-05-11 10:09:01.653560+00:00
176|4652982|646|37|draft|2018-05-11 10:09:01.830216+00:00
177|4652982|646|37|draft|2018-05-11 10:09:02.104442+00:00
178|4652982|646|37|draft|2018-05-11 10:09:02.330668+00:00
179|4652982|646|37|draft|2018-05-11 10:09:02.566593+00:00
180|4652982|646|37|draft|2018-05-11 10:09:02.760174+00:00
181|4652982|646|37|draft|2018-05-11 10:09:02.977563+00:00
182|4652982|646|37|draft|2018-05-11 10:09:03.284364+00:00
183|4652982|646|37|draft|2018-05-11 10:09:03.459782+00:00
184|4652982|646|37|draft|2018-05-11 10:09:03.687325+00:00
185|4652982|646|37|draft|2018-05-11 10:09:03.913693+00:00
186|4652982|646|37|draft|2018-05-11 10:09:04.121301+00:00
187|4652982|646|37|draft|2018-05-11 10:09:04.341312+00:00
188|4652982|646|37|draft|2018-05-11 10:09:04.541946+00:00
189|4652982|646|37|draft|2018-05-11 10:09:04.749529+00:00
190|4652982|646|37|draft|2018-05-11 10:09:04.971899+00:00
191|4652982|646|37|draft|2018-05-11 10:09:05.169786+00:00
192|4652982|646|37|draft|2018-05-11 10:09:05.403897+00:00
193|4652982|646|37|draft|2018-05-11 10:09:05.595434+00:00
194|4652982|646|37|draft|2018-05-11 10:09:05.845896+00:00
195|4652982|646|37|draft|2018-05-11 10:09:06.067778+00:00
196|4652982|646|37|draft|2018-05-11 10:09:06.277718+00:00
197|4652982|646|37|draft|2018-05-11 10:09:06.514357+00:00
198|4652982|646|37|draft|2018-05-11 10:09:06.713877+00:00
199|4652982|646|37|draft|2018-05-11 10:09:06.946831+00:00
200|4652982|646|37|draft|2018-05-11 10:09:07.174173+00:00
201|4652982|646|37|draft|2018-05-11 10:09:07.382061+00:00
202|4652982|646|37|draft|2018-05-11 10:09:07.609358+00:00
203|4652982|646|37|draft|2018-05-11 10:09:07.826222+00:00
204|4652982|646|37|draft|2018-05-11 10:09:08.067137+00:00
205|4652982|646|37|draft|2018-05-11 10:09:08.269343+00:00
206|4652982|646|37|draft|2018-05-11 10:09:08.495048+00:00
207|4652982|646|37|draft|2018-05-11 10:09:08.688354+00:00
208|4652982|646|37|draft|2018-05-11 10:09:08.876657+00:00
209|4652982|646|37|draft|2018-05-11 10:09:09.074505+00:00
210|4652982|646|37|draft|2018-05-11 10:09:09.267333+00:00
211|4652982|646|37|draft|2018-05-11 10:09:09.477337+00:00
212|4652982|646|37|draft|2018-05-11 10:09:09.707216+00:00
213|4652982|646|37|draft|2018-05-11 10:09:09.927047+00:00
214|4652982|646|37|draft|2018-05-11 10:09:10.128811+00:00
215|4652982|646|37|draft|2018-05-11 10:09:10.356831+00:00
216|4652982|646|37|draft|2018-05-11 10:09:10.575899+00:00
217|4652982|646|37|draft|2018-05-11 10:09:10.811004+00:00
218|4652982|646|37|draft|2018-05-11 10:09:11.069753+00:00
219|4652982|646|37|draft|2018-05-11 10:09:11.271622+00:00
220|4652982|646|37|draft|2018-05-11 10:09:11.459434+00:00
221|4652982|646|37|draft|2018-05-11 10:09:11.682300+00:00
222|4652982|646|37|draft|2018-05-11 10:09:11.891233+00:00
223|4652982|646|37|draft|2018-05-11 10:09:12.098680+00:00
224|4652982|646|37|draft|2018-05-11 10:09:12.285048+00:00
225|4652982|646|37|draft|2018-05-11 10:09:12.539863+00:00
226|4652982|646|37|draft|2018-05-11 10:09:12.757979+00:00
227|4652982|646|37|draft|2018-05-11 10:09:12.963883+00:00
228|4652982|646|37|draft|2018-05-11 10:09:13.201870+00:00
229|4652982|646|37|draft|2018-05-11 10:09:13.400210+00:00
230|4652982|646|37|draft|2018-05-11 10:09:13.628011+00:00
231|4652982|646|37|draft|2018-05-11 10:09:13.871012+00:00
232|4652982|646|37|draft|2018-05-11 10:09:14.092227+00:00
233|4652982|646|37|draft|2018-05-11 10:09:14.344932+00:00
234|4652982|646|37|draft|2018-05-11 10:09:14.563442+00:00
235|4652982|646|37|draft|2018-05-11 10:09:14.816431+00:00
236|4652982|646|37|draft|2018-05-11 10:09:15.041868+00:00
237|4652982|646|37|draft|2018-05-11 10:09:15.283843+00:00
238|4652982|646|37|draft|2018-05-11 10:09:15.501674+00:00
239|4652982|646|37|draft|2018-05-11 10:09:15.717747+00:00
240|4652982|646|37|draft|2018-05-11 10:09:15.946573+00:00
241|4652982|646|37|draft|2018-05-11 10:09:16.179577+00:00
242|4652982|646|37|draft|2018-05-11 10:09:16.420571+00:00
243|4652982|646|37|draft|2018-05-11 10:09:16.665260+00:00
244|4652982|646|37|draft|2018-05-11 10:09:16.939411+00:00
253|4652982|646|37|draft|2018-05-11 10:09:19.079044+00:00
245|4652982|646|37|draft|2018-05-11 10:09:17.219371+00:00
246|4652982|646|37|draft|2018-05-11 10:09:17.431104+00:00
254|4652982|646|37|draft|2018-05-11 10:09:19.300747+00:00
247|4652982|646|37|draft|2018-05-11 10:09:17.625749+00:00
248|4652982|646|37|draft|2018-05-11 10:09:17.843061+00:00
255|4652982|646|37|draft|2018-05-11 10:09:19.523012+00:00
249|4652982|646|37|draft|2018-05-11 10:09:18.037592+00:00
250|4652982|646|37|draft|2018-05-11 10:09:18.398528+00:00
256|4652982|646|37|draft|2018-05-11 10:09:19.781891+00:00
251|4652982|646|37|draft|2018-05-11 10:09:18.660404+00:00
257|4652982|646|37|draft|2018-05-11 10:09:20.031288+00:00
258|4652982|646|37|draft|2018-05-11 10:09:20.298692+00:00
259|4652982|646|37|draft|2018-05-11 10:09:20.515260+00:00
260|4652982|646|37|draft|2018-05-11 10:09:20.707501+00:00
261|4652982|646|37|draft|2018-05-11 10:09:20.936855+00:00
262|4652982|646|37|draft|2018-05-11 10:09:21.142866+00:00
263|4652982|646|37|draft|2018-05-11 10:09:21.587773+00:00
264|4652982|646|37|draft|2018-05-11 10:09:21.769678+00:00
265|4652982|646|37|draft|2018-05-11 10:09:21.978604+00:00
266|4652982|646|37|draft|2018-05-11 10:09:22.183487+00:00
267|4652982|646|37|draft|2018-05-11 10:09:22.417309+00:00
268|4652982|646|37|draft|2018-05-11 10:09:22.618333+00:00
269|4652982|646|37|draft|2018-05-11 10:09:22.823688+00:00
270|4652982|646|37|draft|2018-05-11 10:09:23.068948+00:00
271|4652982|646|37|draft|2018-05-11 10:09:23.280914+00:00
272|4652982|646|37|draft|2018-05-11 10:09:23.584785+00:00
273|4652982|646|37|draft|2018-05-11 10:09:23.810097+00:00
274|4652982|646|37|draft|2018-05-11 10:09:23.993909+00:00
275|4652982|646|37|draft|2018-05-11 10:09:24.213510+00:00
276|4652982|646|37|draft|2018-05-11 10:09:24.447976+00:00
277|4652982|646|37|draft|2018-05-11 10:09:24.690854+00:00
278|4652982|646|37|draft|2018-05-11 10:09:24.917947+00:00
279|4652982|646|37|draft|2018-05-11 10:09:25.131872+00:00
280|4652982|646|37|draft|2018-05-11 10:09:25.384991+00:00
281|4652982|646|37|draft|2018-05-11 10:09:25.581487+00:00
282|4652982|646|37|draft|2018-05-11 10:09:25.823630+00:00
283|4652982|646|37|draft|2018-05-11 10:09:26.030903+00:00
284|4652982|646|37|draft|2018-05-11 10:09:26.255013+00:00
285|4652982|646|37|draft|2018-05-11 10:09:26.485727+00:00
286|4652982|646|37|draft|2018-05-11 10:09:26.745980+00:00
287|4652982|646|37|draft|2018-05-11 10:09:26.940601+00:00
288|4652982|646|37|draft|2018-05-11 10:09:27.123132+00:00
289|4652982|646|37|draft|2018-05-11 10:09:27.358915+00:00
290|4652982|646|37|draft|2018-05-11 10:09:27.580573+00:00
291|4652982|646|37|draft|2018-05-11 10:09:27.790914+00:00
292|4652982|646|37|draft|2018-05-11 10:09:28.019749+00:00
293|4652982|646|37|draft|2018-05-11 10:09:28.220025+00:00
294|4652982|646|37|draft|2018-05-11 10:09:28.435760+00:00
295|4652982|646|37|draft|2018-05-11 10:09:28.682082+00:00
296|4652982|646|37|draft|2018-05-11 10:09:28.873590+00:00
297|4652982|646|37|draft|2018-05-11 10:09:29.149165+00:00
298|4652982|646|37|draft|2018-05-11 10:09:29.365908+00:00
299|4652982|646|37|draft|2018-05-11 10:09:29.563077+00:00
300|4652982|646|37|draft|2018-05-11 10:09:29.779459+00:00
301|4652982|646|37|draft|2018-05-11 10:09:29.981801+00:00
302|4652982|646|37|draft|2018-05-11 10:09:30.231054+00:00
303|4652982|646|37|draft|2018-05-11 10:09:30.435504+00:00
304|4652982|646|37|draft|2018-05-11 10:09:30.659625+00:00
305|4652982|646|37|draft|2018-05-11 10:09:30.852644+00:00
306|4652982|646|37|draft|2018-05-11 10:09:31.049049+00:00
307|4652982|646|37|draft|2018-05-11 10:09:31.277059+00:00
308|4652982|646|37|draft|2018-05-11 10:09:31.485480+00:00
309|4652982|646|37|draft|2018-05-11 10:09:31.664370+00:00
310|4652982|646|37|draft|2018-05-11 10:09:31.874375+00:00
311|4652982|646|37|draft|2018-05-11 10:09:32.071775+00:00
312|4652982|646|37|draft|2018-05-11 10:09:32.288834+00:00
313|4652982|646|37|draft|2018-05-11 10:09:32.516454+00:00
314|4652982|646|37|draft|2018-05-11 10:09:32.707332+00:00
315|4652982|646|37|draft|2018-05-11 10:09:32.913328+00:00
316|4652982|646|37|draft|2018-05-11 10:09:33.098352+00:00
317|4652982|646|37|draft|2018-05-11 10:09:33.296726+00:00
318|4652982|646|37|draft|2018-05-11 10:09:33.523169+00:00
319|4652982|646|37|draft|2018-05-11 10:09:33.756373+00:00
320|4652982|646|37|draft|2018-05-11 10:09:33.963093+00:00
321|4652982|646|37|draft|2018-05-11 10:09:34.172946+00:00
322|4652982|646|37|draft|2018-05-11 10:09:34.376414+00:00
323|4652982|646|37|draft|2018-05-11 10:09:34.559369+00:00
515|4652982|646|37|draft|2018-05-11 10:10:17.581162+00:00
324|4652982|646|37|draft|2018-05-11 10:09:34.831528+00:00
381|4652982|646|37|draft|2018-05-11 10:09:47.787911+00:00
325|4652982|646|37|draft|2018-05-11 10:09:35.055769+00:00
326|4652982|646|37|draft|2018-05-11 10:09:35.257526+00:00
382|4652982|646|37|draft|2018-05-11 10:09:48.034626+00:00
327|4652982|646|37|draft|2018-05-11 10:09:35.441227+00:00
328|4652982|646|37|draft|2018-05-11 10:09:35.646183+00:00
383|4652982|646|37|draft|2018-05-11 10:09:48.246840+00:00
329|4652982|646|37|draft|2018-05-11 10:09:35.840032+00:00
330|4652982|646|37|draft|2018-05-11 10:09:36.035375+00:00
384|4652982|646|37|draft|2018-05-11 10:09:48.439741+00:00
331|4652982|646|37|draft|2018-05-11 10:09:36.242152+00:00
332|4652982|646|37|draft|2018-05-11 10:09:36.435056+00:00
385|4652982|646|37|draft|2018-05-11 10:09:48.650916+00:00
333|4652982|646|37|draft|2018-05-11 10:09:36.659905+00:00
334|4652982|646|37|draft|2018-05-11 10:09:36.903194+00:00
386|4652982|646|37|draft|2018-05-11 10:09:48.870966+00:00
335|4652982|646|37|draft|2018-05-11 10:09:37.128339+00:00
336|4652982|646|37|draft|2018-05-11 10:09:37.341884+00:00
387|4652982|646|37|draft|2018-05-11 10:09:49.129234+00:00
337|4652982|646|37|draft|2018-05-11 10:09:37.535107+00:00
338|4652982|646|37|draft|2018-05-11 10:09:37.783060+00:00
388|4652982|646|37|draft|2018-05-11 10:09:49.341108+00:00
339|4652982|646|37|draft|2018-05-11 10:09:38.041304+00:00
340|4652982|646|37|draft|2018-05-11 10:09:38.237009+00:00
389|4652982|646|37|draft|2018-05-11 10:09:49.583412+00:00
341|4652982|646|37|draft|2018-05-11 10:09:38.432725+00:00
342|4652982|646|37|draft|2018-05-11 10:09:38.650288+00:00
390|4652982|646|37|draft|2018-05-11 10:09:49.768245+00:00
343|4652982|646|37|draft|2018-05-11 10:09:38.863846+00:00
344|4652982|646|37|draft|2018-05-11 10:09:39.072265+00:00
391|4652982|646|37|draft|2018-05-11 10:09:49.980396+00:00
345|4652982|646|37|draft|2018-05-11 10:09:39.286213+00:00
346|4652982|646|37|draft|2018-05-11 10:09:39.542610+00:00
392|4652982|646|37|draft|2018-05-11 10:09:50.193573+00:00
347|4652982|646|37|draft|2018-05-11 10:09:39.826923+00:00
348|4652982|646|37|draft|2018-05-11 10:09:40.028598+00:00
393|4652982|646|37|draft|2018-05-11 10:09:50.407365+00:00
349|4652982|646|37|draft|2018-05-11 10:09:40.276530+00:00
350|4652982|646|37|draft|2018-05-11 10:09:40.489810+00:00
394|4652982|646|37|draft|2018-05-11 10:09:50.620010+00:00
351|4652982|646|37|draft|2018-05-11 10:09:40.894400+00:00
352|4652982|646|37|draft|2018-05-11 10:09:41.389331+00:00
395|4652982|646|37|draft|2018-05-11 10:09:50.836106+00:00
353|4652982|646|37|draft|2018-05-11 10:09:41.619815+00:00
354|4652982|646|37|draft|2018-05-11 10:09:41.814842+00:00
396|4652982|646|37|draft|2018-05-11 10:09:51.090730+00:00
355|4652982|646|37|draft|2018-05-11 10:09:42.018029+00:00
356|4652982|646|37|draft|2018-05-11 10:09:42.255201+00:00
397|4652982|646|37|draft|2018-05-11 10:09:51.281696+00:00
357|4652982|646|37|draft|2018-05-11 10:09:42.458360+00:00
358|4652982|646|37|draft|2018-05-11 10:09:42.652080+00:00
398|4652982|646|37|draft|2018-05-11 10:09:51.509617+00:00
359|4652982|646|37|draft|2018-05-11 10:09:42.863876+00:00
360|4652982|646|37|draft|2018-05-11 10:09:43.085431+00:00
399|4652982|646|37|draft|2018-05-11 10:09:51.695620+00:00
361|4652982|646|37|draft|2018-05-11 10:09:43.281402+00:00
362|4652982|646|37|draft|2018-05-11 10:09:43.461736+00:00
400|4652982|646|37|draft|2018-05-11 10:09:51.905822+00:00
363|4652982|646|37|draft|2018-05-11 10:09:43.684403+00:00
364|4652982|646|37|draft|2018-05-11 10:09:43.905604+00:00
401|4652982|646|37|draft|2018-05-11 10:09:52.164532+00:00
365|4652982|646|37|draft|2018-05-11 10:09:44.308611+00:00
366|4652982|646|37|draft|2018-05-11 10:09:44.489618+00:00
402|4652982|646|37|draft|2018-05-11 10:09:52.401752+00:00
367|4652982|646|37|draft|2018-05-11 10:09:44.670002+00:00
368|4652982|646|37|draft|2018-05-11 10:09:44.881190+00:00
403|4652982|646|37|draft|2018-05-11 10:09:52.613884+00:00
369|4652982|646|37|draft|2018-05-11 10:09:45.121742+00:00
370|4652982|646|37|draft|2018-05-11 10:09:45.332972+00:00
371|4652982|646|37|draft|2018-05-11 10:09:45.584316+00:00
372|4652982|646|37|draft|2018-05-11 10:09:45.825306+00:00
373|4652982|646|37|draft|2018-05-11 10:09:46.048373+00:00
374|4652982|646|37|draft|2018-05-11 10:09:46.277379+00:00
375|4652982|646|37|draft|2018-05-11 10:09:46.550827+00:00
376|4652982|646|37|draft|2018-05-11 10:09:46.754150+00:00
377|4652982|646|37|draft|2018-05-11 10:09:46.968978+00:00
378|4652982|646|37|draft|2018-05-11 10:09:47.169681+00:00
379|4652982|646|37|draft|2018-05-11 10:09:47.385480+00:00
1385|4898218|58679|2332|draft|2018-10-21 20:58:57.113814+00:00
404|4652982|646|37|draft|2018-05-11 10:09:52.816870+00:00
405|4652982|646|37|draft|2018-05-11 10:09:52.994236+00:00
406|4652982|646|37|draft|2018-05-11 10:09:53.199840+00:00
407|4652982|646|37|draft|2018-05-11 10:09:53.426197+00:00
408|4652982|646|37|draft|2018-05-11 10:09:53.606825+00:00
409|4652982|646|37|draft|2018-05-11 10:09:53.834439+00:00
410|4652982|646|37|draft|2018-05-11 10:09:54.064465+00:00
411|4652982|646|37|draft|2018-05-11 10:09:54.270939+00:00
412|4652982|646|37|draft|2018-05-11 10:09:54.461373+00:00
413|4652982|646|37|draft|2018-05-11 10:09:54.673661+00:00
414|4652982|646|37|draft|2018-05-11 10:09:54.926888+00:00
415|4652982|646|37|draft|2018-05-11 10:09:55.122313+00:00
416|4652982|646|37|draft|2018-05-11 10:09:55.307924+00:00
417|4652982|646|37|draft|2018-05-11 10:09:55.556849+00:00
418|4652982|646|37|draft|2018-05-11 10:09:55.772945+00:00
419|4652982|646|37|draft|2018-05-11 10:09:55.980532+00:00
420|4652982|646|37|draft|2018-05-11 10:09:56.165196+00:00
421|4652982|646|37|draft|2018-05-11 10:09:56.379003+00:00
422|4652982|646|37|draft|2018-05-11 10:09:56.623012+00:00
423|4652982|646|37|draft|2018-05-11 10:09:56.859636+00:00
424|4652982|646|37|draft|2018-05-11 10:09:57.098424+00:00
425|4652982|646|37|draft|2018-05-11 10:09:57.302719+00:00
426|4652982|646|37|draft|2018-05-11 10:09:57.528774+00:00
427|4652982|646|37|draft|2018-05-11 10:09:57.714386+00:00
428|4652982|646|37|draft|2018-05-11 10:09:57.920191+00:00
429|4652982|646|37|draft|2018-05-11 10:09:58.153717+00:00
430|4652982|646|37|draft|2018-05-11 10:09:58.356458+00:00
431|4652982|646|37|draft|2018-05-11 10:09:58.552911+00:00
432|4652982|646|37|draft|2018-05-11 10:09:58.785715+00:00
433|4652982|646|37|draft|2018-05-11 10:09:58.970930+00:00
434|4652982|646|37|draft|2018-05-11 10:09:59.199034+00:00
435|4652982|646|37|draft|2018-05-11 10:09:59.381592+00:00
